,Italy,Spain,Germany,France,Belgium,United Kingdom,Ireland,Netherlands,Portugal,Austria,Greece
1970,17700.0,13500.0,19600.0,20100.0,20100.0,17900.0,12400.0,24400.0,8770.0,19600.0,13400.0
1971,17900.0,14000.0,20200.0,21000.0,20800.0,18500.0,12700.0,25100.0,9390.0,20500.0,14400.0
1972,18400.0,15000.0,21000.0,21700.0,21900.0,19200.0,13300.0,25700.0,10200.0,21600.0,15700.0
1973,19600.0,16000.0,21900.0,22900.0,23200.0,20400.0,13700.0,26900.0,11300.0,22600.0,16900.0
1974,20600.0,16700.0,22100.0,23700.0,24200.0,19900.0,14100.0,27600.0,11300.0,23400.0,15800.0
1975,20000.0,16600.0,22000.0,23300.0,23600.0,19600.0,14600.0,27400.0,10400.0,23400.0,16600.0
1976,21300.0,17000.0,23200.0,24100.0,24900.0,20200.0,14600.0,28400.0,10800.0,24500.0,17500.0
1977,21800.0,17300.0,24000.0,24900.0,25000.0,20700.0,15600.0,28900.0,11300.0,25700.0,17800.0
1978,22400.0,17300.0,24700.0,25800.0,25700.0,21600.0,16500.0,29500.0,11500.0,25700.0,18800.0
1979,23700.0,17200.0,25800.0,26600.0,26300.0,22300.0,16800.0,29900.0,12000.0,27100.0,19200.0
1980,24500.0,17400.0,26100.0,26900.0,27400.0,21900.0,17100.0,30100.0,12400.0,27600.0,19100.0
1981,24600.0,17300.0,26200.0,27100.0,27400.0,21700.0,17500.0,29600.0,12500.0,27500.0,18700.0
1982,24700.0,17400.0,26100.0,27600.0,27500.0,22100.0,17700.0,29100.0,12700.0,28000.0,18400.0
1983,25000.0,17600.0,26600.0,27800.0,27600.0,23100.0,17500.0,29600.0,12600.0,28900.0,18000.0
1984,25800.0,17900.0,27400.0,28100.0,28300.0,23500.0,18200.0,30400.0,12300.0,28900.0,18300.0
1985,26500.0,18200.0,28100.0,28400.0,28800.0,24500.0,18700.0,31100.0,12600.0,29600.0,18700.0
1986,27300.0,18800.0,28700.0,28900.0,29300.0,25200.0,18600.0,31700.0,13100.0,30300.0,18700.0
1987,28100.0,19700.0,29100.0,29500.0,29900.0,26500.0,19500.0,32100.0,14000.0,30700.0,18300.0
1988,29300.0,20700.0,30100.0,30700.0,31200.0,27900.0,20600.0,33000.0,15000.0,31600.0,19000.0
1989,30300.0,21700.0,31000.0,31800.0,32200.0,28600.0,21900.0,34300.0,16000.0,32700.0,19600.0
1990,30800.0,22500.0,32300.0,32500.0,33100.0,28700.0,23700.0,35500.0,16700.0,33900.0,19400.0
1991,31300.0,23000.0,33700.0,32900.0,33600.0,28300.0,24000.0,36100.0,17500.0,34700.0,19700.0
1992,31500.0,23100.0,34100.0,33200.0,34000.0,28300.0,24700.0,36400.0,17700.0,35000.0,19700.0
1993,31200.0,22700.0,33600.0,32900.0,33500.0,29000.0,25200.0,36600.0,17300.0,34900.0,19300.0
1994,31900.0,23200.0,34300.0,33500.0,34500.0,30000.0,26600.0,37500.0,17400.0,35600.0,19600.0
1995,32800.0,23700.0,34800.0,34100.0,35200.0,30700.0,29000.0,38400.0,18100.0,36500.0,19900.0
1996,33200.0,24200.0,35000.0,34400.0,35700.0,31400.0,31000.0,39600.0,18600.0,37300.0,20400.0
1997,33800.0,25000.0,35600.0,35100.0,37000.0,32600.0,33800.0,41100.0,19400.0,38100.0,21200.0
1998,34400.0,26000.0,36300.0,36200.0,37600.0,33500.0,36300.0,42700.0,20200.0,39400.0,21900.0
1999,34900.0,27000.0,37000.0,37300.0,38900.0,34400.0,39700.0,44600.0,20900.0,40700.0,22500.0
2000,36200.0,28300.0,38000.0,38500.0,40200.0,35600.0,42900.0,46100.0,21500.0,42000.0,23300.0
2001,36800.0,29300.0,38600.0,38900.0,40400.0,36300.0,44700.0,46800.0,21800.0,42400.0,24100.0
2002,36800.0,29700.0,38500.0,39100.0,40900.0,37100.0,46700.0,46500.0,21800.0,42900.0,25000.0
2003,36700.0,30100.0,38200.0,39100.0,41000.0,38100.0,47400.0,46400.0,21500.0,43100.0,26300.0
2004,37100.0,30500.0,38700.0,39900.0,42300.0,38800.0,49700.0,47200.0,21900.0,44000.0,27600.0
2005,37200.0,31100.0,39000.0,40300.0,43000.0,39700.0,51500.0,48100.0,22000.0,44600.0,27700.0
2006,37900.0,31900.0,40500.0,40900.0,43800.0,40400.0,52900.0,49700.0,22300.0,46000.0,29200.0
2007,38200.0,32500.0,41800.0,41600.0,45000.0,41100.0,54100.0,51400.0,22800.0,47500.0,30100.0
2008,37600.0,32300.0,42400.0,41500.0,45000.0,40500.0,50900.0,52100.0,22800.0,48100.0,29900.0
2009,35400.0,30900.0,40100.0,40100.0,43600.0,38500.0,48100.0,49900.0,22100.0,46100.0,28500.0
2010,35800.0,30700.0,41800.0,40600.0,44400.0,38900.0,48700.0,50300.0,22500.0,46900.0,26900.0
2011,36000.0,30300.0,44100.0,41300.0,44600.0,39200.0,49900.0,50900.0,22200.0,48100.0,24500.0
2012,34900.0,29400.0,44300.0,41200.0,44300.0,39500.0,49700.0,50200.0,21400.0,48200.0,22800.0
2013,33900.0,29000.0,44400.0,41200.0,44200.0,40000.0,50300.0,50000.0,21200.0,47900.0,22300.0
2014,33600.0,29500.0,45000.0,41400.0,44700.0,40900.0,54100.0,50500.0,21500.0,47900.0,22600.0
2015,34000.0,30500.0,45400.0,41600.0,45100.0,41500.0,67200.0,51400.0,22000.0,47900.0,22600.0
2016,34300.0,31500.0,45900.0,42000.0,45500.0,42000.0,69900.0,52300.0,22400.0,48100.0,22700.0
2017,34900.0,32400.0,46700.0,42600.0,46100.0,42500.0,74400.0,53600.0,23100.0,49100.0,23000.0
