,Variety,Citrus,Floral,Tobacco/Earthy,Tropical Fruit,Spicy,Herbal,Stone Fruit,Pine,Cedar,Grassy
0,AHTANUM,1,1,1,0,0,0,0,0,0,0
1,AMARILLO,1,1,0,1,0,0,0,0,0,0
3,Bravo,0,1,0,0,0,0,0,0,0,0
5,Brewers Gold,0,0,0,0,1,0,0,0,0,0
6,BULLION,0,0,0,0,0,0,0,0,0,0
7,CASCADE,1,1,0,0,0,0,0,0,0,0
8,Centennial,1,1,0,0,0,0,0,0,0,0
9,CHELAN,1,1,0,0,0,0,0,0,0,0
10,CHINOOK,1,0,0,0,1,0,0,1,0,0
11,CITRA,1,0,0,1,0,0,0,0,0,0
12,Cluster,0,1,0,0,1,0,0,0,0,0
13,Columbus,1,0,0,0,1,0,0,0,0,0
14,CRYSTAL,0,0,0,0,1,0,0,0,0,0
15,EQUINOX,1,0,0,1,0,1,0,0,0,0
16,Fuggle,0,0,1,0,0,0,0,0,0,0
17,Galena,1,0,0,0,1,0,1,0,0,0
18,Glacier,0,0,0,0,0,1,0,0,0,0
19,Golding,0,1,0,0,1,0,0,0,0,0
20,GR Brewers Gold,0,0,0,0,1,0,0,0,0,0
22,GR Herkules,0,1,0,0,0,0,0,0,0,0
23,GR Northern Brewer,0,1,0,0,0,1,0,0,0,0
24,GR PERLE,0,1,0,0,1,0,0,0,0,0
25,GR Tettnang,0,1,1,0,0,1,0,0,0,0
26,Hallertau,0,1,0,0,1,1,0,0,0,0
27,HORIZON,0,1,0,0,1,0,0,0,0,0
28,Liberty,1,0,0,0,1,0,0,0,0,0
30,MILLENNIUM,0,1,1,0,0,1,0,0,0,0
31,MOSAIC,1,1,0,0,0,0,0,0,0,1
32,MT. HOOD,0,0,1,0,1,1,0,0,0,0
33,Mt. Rainier,1,1,0,0,1,0,0,0,0,0
35,Northern Brewer,0,0,1,0,0,0,0,1,0,0
36,Nugget,0,0,0,0,1,1,0,0,0,0
37,PALISADE,0,0,0,0,0,1,1,0,0,1
38,PERLE,0,1,0,0,1,1,0,0,0,0
39,Saaz,0,0,1,0,1,0,0,0,0,0
40,Santiam,0,1,0,0,1,1,0,0,0,0
41,SIMCOE,1,0,1,0,0,0,0,1,0,0
42,SORACHI ACE,1,0,0,0,0,1,0,0,0,1
43,ST AURORA,0,1,0,0,0,0,0,1,0,0
44,ST Celeia,0,1,0,0,0,0,0,0,0,0
45,STERLING,1,0,0,0,1,0,0,0,0,0
46,Summit,1,0,1,0,1,0,0,0,0,0
47,TAHOMA,1,0,0,0,0,0,0,1,1,0
48,TETTNANG,0,0,0,0,1,0,0,0,0,0
50,UK ADMIRAL,1,0,1,0,0,1,0,0,0,0
51,UK EAST KENT GOLDING,0,1,1,0,1,0,0,0,0,0
52,UK WGV,0,1,1,0,0,1,0,0,0,0
53,Ultra,0,1,0,0,1,0,0,0,0,0
54,VANGUARD,0,1,0,0,0,1,0,0,0,0
55,WARRIOR,1,0,0,0,0,1,0,1,0,0
56,Willamette,0,1,0,0,1,0,0,0,0,0
