n,id,age,height,weigth,age_label,sex,bmi
1,0,2,0.93,14.4,2-3,1,16.649323621227886
2,1,3,1.01,16.5,3-4,1,16.174884815214195
3,2,4,1.08,18.8,4-5,1,16.117969821673526
4,3,5,1.15,21.0,5-6,1,15.879017013232517
5,4,6,1.22,24.0,6-7,1,16.12469766191884
6,5,7,1.28,26.9,7-8,1,16.41845703125
7,6,8,1.33,30.4,8-9,1,17.18582169709989
8,7,9,1.39,34.3,9-10,1,17.752704311371048
9,8,10,1.44,37.9,10-11,1,18.277391975308642
10,9,11,1.5,42.7,11-12,1,18.977777777777778
11,10,12,1.56,47.6,12-13,1,19.559500328731097
12,11,13,1.64,53.9,13-14,1,20.040154669839385
13,12,14,1.71,60.1,14-16,1,20.5533326493622
14,13,15,1.75,65.3,15-16,1,21.322448979591837
15,14,16,1.79,70.7,16-17,1,22.065478605536658
16,15,17,1.8,73.2,17-18,1,22.59259259259259
17,16,18,1.81,75.8,18-20,1,23.137266872195596
18,17,20,1.81,79.2,20-25,1,24.175086230579044
19,18,25,1.81,82.5,25-30,1,25.1823814901865
20,19,30,1.8,84.4,30-45,1,26.049382716049383
21,20,35,1.8,85.9,35-40,1,26.512345679012345
22,21,40,1.8,87.3,40-45,1,26.944444444444443
23,22,45,1.8,87.6,45-50,1,27.037037037037035
24,23,50,1.79,87.8,50-55,1,27.402390686932367
25,24,55,1.79,87.7,55-60,1,27.371180674760463
26,25,60,1.78,87.3,60-65,1,27.553339224845345
27,26,65,1.76,86.5,65-70,1,27.924845041322314
28,27,70,1.76,84.8,70-75,1,27.376033057851238
29,28,75,1.74,81.2,75+,1,26.81992337164751
1,29,2,0.92,13.7,2-3,-1,16.18620037807183
2,30,3,1.0,15.9,3-4,-1,15.9
3,31,4,1.08,18.2,4-5,-1,15.603566529492454
4,32,5,1.14,20.6,5-6,-1,15.851031086488153
5,33,6,1.22,23.3,6-7,-1,15.654393980112873
6,34,7,1.27,26.2,7-8,-1,16.244032488064974
7,35,8,1.32,29.5,8-9,-1,16.930670339761246
8,36,9,1.39,33.4,9-10,-1,17.28688991253041
9,37,10,1.44,37.1,10-11,-1,17.891589506172842
10,38,11,1.51,41.5,11-12,-1,18.200956098416736
11,39,12,1.57,46.6,12-13,-1,18.905432269057567
12,40,13,1.61,50.9,13-14,-1,19.636588094595112
13,41,14,1.64,54.4,14-15,-1,20.226055919095778
14,42,15,1.66,57.4,15-16,-1,20.830309188561476
15,43,16,1.67,58.8,16-17,-1,21.083581340313383
16,44,17,1.67,59.8,17-18,-1,21.442145648822116
17,45,18,1.68,61.4,18-20,-1,21.754535147392293
18,46,20,1.68,63.0,20-25,-1,22.321428571428577
19,47,25,1.67,65.4,25-30,-1,23.450105776471013
20,48,30,1.67,67.0,30-35,-1,24.023808670084982
21,49,35,1.67,67.9,35-40,-1,24.34651654774284
22,50,40,1.67,68.7,40-45,-1,24.633367994549825
23,51,45,1.67,69.4,45-50,-1,24.884363010505936
24,52,50,1.67,70.1,50-55,-1,25.135358026462043
25,53,55,1.66,70.4,55-60,-1,25.547975032660766
26,54,60,1.65,70.9,60-65,-1,26.042240587695137
27,55,65,1.64,71.3,65-70,-1,26.50951814396193
28,56,70,1.64,70.6,70-75,-1,26.249256395002977
29,57,75,1.62,68.5,75+,-1,26.101204084743173
