,year,day,link,team_1,team_2,score_1,score_2
0,2016,1,https://www.world.rugby/match/22565,France,Italy,23,21
1,2016,1,https://www.world.rugby/match/22566,Scotland,England,9,15
2,2016,1,https://www.world.rugby/match/22567,Ireland,Wales,16,16
3,2016,2,https://www.world.rugby/match/22568,France,Ireland,10,9
4,2016,2,https://www.world.rugby/match/22569,Wales,Scotland,27,23
5,2016,2,https://www.world.rugby/match/22570,Italy,England,9,40
6,2016,3,https://www.world.rugby/match/22571,Wales,France,19,10
7,2016,3,https://www.world.rugby/match/22572,Italy,Scotland,20,36
8,2016,3,https://www.world.rugby/match/22573,England,Ireland,21,10
9,2016,4,https://www.world.rugby/match/22574,Ireland,Italy,58,15
10,2016,4,https://www.world.rugby/match/22575,England,Wales,25,21
11,2016,4,https://www.world.rugby/match/22576,Scotland,France,29,18
12,2016,5,https://www.world.rugby/match/22577,Wales,Italy,67,14
13,2016,5,https://www.world.rugby/match/22578,Ireland,Scotland,35,25
14,2016,5,https://www.world.rugby/match/22579,France,England,21,31
0,2017,1,https://www.world.rugby/match/22580,Scotland,Ireland,27,22
1,2017,1,https://www.world.rugby/match/22581,England,France,19,16
2,2017,1,https://www.world.rugby/match/22582,Italy,Wales,7,33
3,2017,2,https://www.world.rugby/match/22583,Italy,Ireland,10,63
4,2017,2,https://www.world.rugby/match/22584,Wales,England,16,21
5,2017,2,https://www.world.rugby/match/22585,France,Scotland,22,16
6,2017,3,https://www.world.rugby/match/22586,Scotland,Wales,29,13
7,2017,3,https://www.world.rugby/match/22587,Ireland,France,19,9
8,2017,3,https://www.world.rugby/match/22588,England,Italy,36,15
9,2017,4,https://www.world.rugby/match/22589,Wales,Ireland,22,9
10,2017,4,https://www.world.rugby/match/22590,Italy,France,18,40
11,2017,4,https://www.world.rugby/match/22591,England,Scotland,61,21
12,2017,5,https://www.world.rugby/match/22592,Scotland,Italy,29,0
13,2017,5,https://www.world.rugby/match/22593,France,Wales,20,18
14,2017,5,https://www.world.rugby/match/22594,Ireland,England,13,9
0,2018,1,https://www.world.rugby/match/24948,Wales,Scotland,34,7
1,2018,1,https://www.world.rugby/match/24949,France,Ireland,13,15
2,2018,1,https://www.world.rugby/match/24950,Italy,England,15,46
3,2018,2,https://www.world.rugby/match/24951,Ireland,Italy,56,19
4,2018,2,https://www.world.rugby/match/24952,England,Wales,12,6
5,2018,2,https://www.world.rugby/match/24953,Scotland,France,32,26
6,2018,3,https://www.world.rugby/match/24954,France,Italy,34,17
7,2018,3,https://www.world.rugby/match/24955,Ireland,Wales,37,27
8,2018,3,https://www.world.rugby/match/24956,Scotland,England,25,13
9,2018,4,https://www.world.rugby/match/24957,Ireland,Scotland,28,8
10,2018,4,https://www.world.rugby/match/24958,France,England,22,16
11,2018,4,https://www.world.rugby/match/24959,Wales,Italy,38,14
12,2018,5,https://www.world.rugby/match/24960,Italy,Scotland,27,29
13,2018,5,https://www.world.rugby/match/24961,England,Ireland,15,24
14,2018,5,https://www.world.rugby/match/24962,Wales,France,14,13
0,2019,1,https://www.world.rugby/match/24963,France,Wales,19,24
1,2019,1,https://www.world.rugby/match/24964,Scotland,Italy,33,20
2,2019,1,https://www.world.rugby/match/24965,Ireland,England,20,32
3,2019,2,https://www.world.rugby/match/24966,Scotland,Ireland,13,22
4,2019,2,https://www.world.rugby/match/24967,Italy,Wales,15,26
5,2019,2,https://www.world.rugby/match/24968,England,France,44,8
6,2019,3,https://www.world.rugby/match/24969,France,Scotland,27,10
7,2019,3,https://www.world.rugby/match/24970,Wales,England,21,13
8,2019,3,https://www.world.rugby/match/24971,Italy,Ireland,16,26
9,2019,4,https://www.world.rugby/match/24972,Scotland,Wales,11,18
10,2019,4,https://www.world.rugby/match/24973,England,Italy,57,14
11,2019,4,https://www.world.rugby/match/24974,Ireland,France,26,14
12,2019,5,https://www.world.rugby/match/24975,Italy,France,14,25
13,2019,5,https://www.world.rugby/match/24976,Wales,Ireland,25,7
14,2019,5,https://www.world.rugby/match/24977,England,Scotland,38,38
0,2020,1,https://www.world.rugby/match/27309,Wales,Italy,42,0
1,2020,1,https://www.world.rugby/match/27310,Ireland,Scotland,19,12
2,2020,1,https://www.world.rugby/match/27311,France,England,24,17
3,2020,2,https://www.world.rugby/match/27312,Ireland,Wales,24,14
4,2020,2,https://www.world.rugby/match/27313,Scotland,England,6,13
5,2020,2,https://www.world.rugby/match/27314,France,Italy,35,22
6,2020,3,https://www.world.rugby/match/27315,Italy,Scotland,0,17
7,2020,3,https://www.world.rugby/match/27316,Wales,France,23,27
8,2020,3,https://www.world.rugby/match/27317,England,Ireland,24,12
9,2020,4,https://www.world.rugby/match/27319,England,Wales,33,30
10,2020,4,https://www.world.rugby/match/27320,Scotland,France,28,17
11,2020,4,https://www.world.rugby/match/27318,Ireland,Italy,50,17
12,2020,5,https://www.world.rugby/match/27321,Wales,Scotland,10,14
13,2020,5,https://www.world.rugby/match/27322,Italy,England,5,34
14,2020,5,https://www.world.rugby/match/27323,France,Ireland,35,27
0,2021,1,https://www.world.rugby/match/27324,Italy,France,10,50
1,2021,1,https://www.world.rugby/match/27325,England,Scotland,6,11
2,2021,1,https://www.world.rugby/match/27326,Wales,Ireland,21,16
3,2021,2,https://www.world.rugby/match/27327,England,Italy,41,18
4,2021,2,https://www.world.rugby/match/27328,Scotland,Wales,24,25
5,2021,2,https://www.world.rugby/match/27329,Ireland,France,13,15
6,2021,3,https://www.world.rugby/match/27330,Italy,Ireland,10,48
7,2021,3,https://www.world.rugby/match/27331,Wales,England,40,24
8,2021,3,https://www.world.rugby/match/27332,France,Scotland,23,27
9,2021,4,https://www.world.rugby/match/27333,Italy,Wales,7,48
10,2021,4,https://www.world.rugby/match/27334,England,France,23,20
11,2021,4,https://www.world.rugby/match/27335,Scotland,Ireland,24,27
12,2021,5,https://www.world.rugby/match/27336,Scotland,Italy,52,10
13,2021,5,https://www.world.rugby/match/27337,Ireland,England,32,18
14,2021,5,https://www.world.rugby/match/27338,France,Wales,32,30
0,2022,1,https://www.world.rugby/match/28847,Ireland,Wales,29,7
1,2022,1,https://www.world.rugby/match/28848,Scotland,England,20,17
2,2022,1,https://www.world.rugby/match/28849,France,Italy,37,10
3,2022,2,https://www.world.rugby/match/28850,Wales,Scotland,20,17
4,2022,2,https://www.world.rugby/match/28851,France,Ireland,30,24
5,2022,2,https://www.world.rugby/match/28852,Italy,England,0,33
6,2022,3,https://www.world.rugby/match/28853,Scotland,France,17,36
7,2022,3,https://www.world.rugby/match/28854,England,Wales,23,19
8,2022,3,https://www.world.rugby/match/28855,Ireland,Italy,57,6
9,2022,4,https://www.world.rugby/match/28856,Wales,France,9,13
10,2022,4,https://www.world.rugby/match/28857,Italy,Scotland,22,33
11,2022,4,https://www.world.rugby/match/28858,England,Ireland,15,32
12,2022,5,https://www.world.rugby/match/28860,Wales,Italy,21,22
13,2022,5,https://www.world.rugby/match/28861,Ireland,Scotland,26,5
14,2022,5,https://www.world.rugby/match/28859,France,England,25,13
0,2023,1,https://www.world.rugby/match/29836,Wales,Ireland,10,34
1,2023,1,https://www.world.rugby/match/29837,England,Scotland,23,29
2,2023,1,https://www.world.rugby/match/29838,Italy,France,24,29
3,2023,2,https://www.world.rugby/match/29839,Ireland,France,32,19
4,2023,2,https://www.world.rugby/match/29840,Scotland,Wales,35,7
5,2023,2,https://www.world.rugby/match/29841,England,Italy,31,14
6,2023,3,https://www.world.rugby/match/29842,Italy,Ireland,20,34
7,2023,3,https://www.world.rugby/match/29843,Wales,England,10,20
8,2023,3,https://www.world.rugby/match/29844,France,Scotland,32,21
9,2023,4,https://www.world.rugby/match/29845,Italy,Wales,17,29
10,2023,4,https://www.world.rugby/match/29846,England,France,10,53
11,2023,4,https://www.world.rugby/match/29847,Scotland,Ireland,7,22
12,2023,5,https://www.world.rugby/match/29848,Scotland,Italy,26,14
13,2023,5,https://www.world.rugby/match/29849,France,Wales,41,28
14,2023,5,https://www.world.rugby/match/29850,Ireland,England,29,16
